cue,subcue,reset,last_subcue,arm,autobang,pulse,part_mastervol,part_thresh,part_spectgate_thresh,comb_mastervol,comb_volcurve,comb_spectgate_thresh,comb_clear_bufs,comb_play_loop,comb_play_seq,comb_rec_seq,comb_notes,comb_buf_speed,comb_buf_vol_0,comb_buf_vol_1,comb_buf_vol_2,comb_buf_vol_3
0,0,TRUE,0,FALSE,-1,100%,0./0,0/0,0,0.5,0./0,12,1/1/1/1,0/s/s/s/s,-1/-1/-1/-1,-1/-1/-1/-1,0/0/0,1./1./1./1.,all/0./0./0./0./0./0./0./0.,all,all,all

1,0,FALSE,,,,,0.4/0,-22/-22,3,,,3

2,0,,3,TRUE,30,200%,,,,,1./0,12,0/1/0/1,,1/2/3/0,2/-1/0/-1,0/1/0,0.5/0.25/0.125/0.,all/0./1./1./0./0./180./150./0.
,1,,,,15,190%,,,,,,,0/0/0/0,autobang/s/s/s/s,,,,,all/0./1./1./0./0./20./20./0.
,2,,,,15,180%,,,,,,,,,,,,,all/0.5/1./1./0./60./0./0./0.
,3,,,,-1,170%,0.0/20,0/0,,,,,,60/s/s/s/s,,,,,all/0.5/1./1./0./0./0./0./0.

3,0,,2,,,100%,,,,,,6,0/0/1/1,0/s*1.5/s/s/s,1/0/-1/-1,0/-1/-1/-1,0/0/1,1./0.25/0.125/0.,one/0.3/0.7/0.7/0./10./0./0./0.,one/0.0/0.0/0.0/0./0./0./0./0.,one/0.0/0.0/0.0/0./0./0./0./0.,one/0.0/0.0/0.0/0./0./0./0./0.
,1,,,,,95%,,,,,,,0/0/0/0,,,,1/0/0,,one/0.3/0.7/0.7/0./0./0./0./0.
,2,,,,,75%,0.3/20,-22/-22,,,,,,60/s*1.5/s/s/s,,1/0/-1/-1,1/1/1,,,one/0.3/0.7/0.7/0./15./10./5./0.

4,0,,1,,,50%,0.0/20,0/0,,,,3,,0/s/s/s/s,,,1/0/0,1./0.5/0.25/0.125,all/1./1./1./1./0./0./0./0.,all,all,all
,1,,,,,,,,,,,,,,,,1/1/0

5,0,,0,FALSE,,,,,,,0./20000/-0.5,,,,,0/-1/-1/-1,0/0/0,,one/1./1./1./1./0./0./0./0.,one/0./0./0./0./10./10./10./10.,one/0.0/0.0/0.0/0./0./0./0./0.,one/0.0/0.0/0.0/0./0./0./0./0.
